id;codigo;titulo;descripcion;path_envio;path_recibir;contador;control_visitas;control_cobros;tipo_importe_dto_1;tipo_importe_dto_2;tipo_importe_dto_3
1;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;Villages uniform PCI;74771;SI;SI;PORCENTAJE;PORCENTAJE;PORCENTAJE
2;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;81011;SI;SI;PORCENTAJE;PORCENTAJE;PORCENTAJE
3;implementation;Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;interface;82786;SI;SI;PORCENTAJE;PORCENTAJE;PORCENTAJE
4;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;61172;SI;SI;PORCENTAJE;PORCENTAJE;PORCENTAJE
5;Generic Frozen Tuna HTTP;implement;Optimization Cambridgeshire;payment Soap;Web;94425;SI;SI;PORCENTAJE;PORCENTAJE;PORCENTAJE
6;Fantastic;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;wireless;hybrid;11816;SI;SI;PORCENTAJE;PORCENTAJE;PORCENTAJE
7;Managed Dobra application;Fantastic;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;35490;SI;SI;PORCENTAJE;PORCENTAJE;PORCENTAJE
8;Tasty Rubber Car mindshare EXE;bandwidth Liaison;program Auto Loan Account Refined;infomediaries;Fantastic Fresh Salad;70624;SI;SI;PORCENTAJE;PORCENTAJE;PORCENTAJE
9;mesh system Triple-buffered;Cotton;Advanced grow;Handmade Wooden Cheese Fresh;input Naira;23750;SI;SI;PORCENTAJE;PORCENTAJE;PORCENTAJE
10;Central African Republic;magenta heuristic;Credit Card Account Maryland Legacy;Product;Brand Regional Court;62013;SI;SI;PORCENTAJE;PORCENTAJE;PORCENTAJE
