id;codigo;descripcion;titulo;cif;fecha_alta;estado;fecha_estado;exclusiva
1;enable;deposit Chicken best-of-breed;RSS Buckinghamshire Officer;teal Licensed Wooden Pants;2019-05-28T00:46:58;Chair Awesome;2019-05-28T04:34:25;Island cyan
2;Granite open architecture;Ergonomic Soft Shoes;Bulgarian Lev Cambridgeshire;Regional;2019-05-28T06:00:11;systemic;2019-05-27T12:07:13;quantify
3;Manager;cultivate Bedfordshire;navigate Kiribati;bypass Games Customer-focused;2019-05-27T14:20:55;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);2019-05-28T04:53:48;Inlet Hungary Configurable
4;interface;Toys;overriding;internet solution;2019-05-28T04:35:40;National;2019-05-27T17:13:22;Indian Rupee bluetooth
5;Club Nebraska;Nevada quantify architectures;empower;customized payment;2019-05-27T17:46:13;dot-com;2019-05-27T07:47:34;Personal Loan Account
6;Music;Pants;Avon;blue scalable Car;2019-05-27T09:56:48;Small Andorra infomediaries;2019-05-27T07:53:31;Fresh incubate Agent
7;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;silver;2019-05-27T23:42:02;channels Buckinghamshire Open-source;2019-05-28T04:42:46;Auto Loan Account asymmetric Montana
8;Applications;Montenegro;frictionless;Rubber Awesome Frozen Mouse;2019-05-27T23:43:57;primary Customer-focused UAE Dirham;2019-05-27T13:13:25;Investment Account
9;Investment Account cross-platform;Configuration;parse infrastructures Mobility;Implementation Shirt Unbranded Soft Fish;2019-05-27T17:40:54;synthesizing;2019-05-28T04:06:51;1080p indigo Bacon
10;gold;payment;National structure;whiteboard indexing;2019-05-27T20:55:47;e-enable Plaza intranet;2019-05-27T13:31:35;Borders Grass-roots
